verse	form	lemma	gold_pos	gold_case_num_gender	ledger_class	kosha_analyses	candidate_class	proposed_action	evidence	decision
2.23	āpaḥ	ap	nominal	nom/pl/f	DIVERGE	acc.sg.n;nom.sg.m;nom.sg.n;voc.sg.n	D2_number_mismatch	review: gold number absent from kosha's analyses — gold mislabel OR missing number in paradigm	suspect: kosha — gold lemma's paradigm lacks the form (kosha lemmas: Apa,Apas)	
2.28	avyaktādīni	a-vyakta-ādi	nominal	nom/pl/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: avyaktādīni	
2.28	vyakta-madhyāni	vyakta-madhya	nominal	nom/pl/n	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: madhyāni	
2.28	avyakta-nidhanāni	a-vyakta-nidhana	nominal	nom/pl/n	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: nidhanāni	
2.34	saṁbhāvitasya	saṁ-bhāvita	nominal	gen/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁbhāvitasya	
2.36	avācya-vādān	avācya-vāda	nominal	acc/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vādān	
2.36	nindantaḥ	nindant	participle	nom/pl/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
2.41	vyavasāyātmikā	vyavasāya-ātmikā	nominal	nom/sg/f	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: vyavasāyātmikā	
2.43	janma-karma-phala-pradām	janma-karma-phala-pradā	nominal	acc/sg/f	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: pradām	
2.43	kriyā-viśeṣa-bahulāṁ	kriyā-viśeṣa-bahulā	nominal	acc/sg/f	GAP		G0_sandhi_surface	none: gold form is a sandhied surface; the pausa form carries the gold cell in kosha	pausa form: bahulām	
2.43	bhogaiśvarya-gatiṁ	bhoga-aiśvarya-gati	nominal	acc/sg/f	GAP		G0_sandhi_surface	none: gold form is a sandhied surface; the pausa form carries the gold cell in kosha	pausa form: gatim	
2.44	bhogaiśvarya-prasaktānām	bhoga-aiśvarya-prasakta	nominal	gen/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: prasaktānām	
2.44	apahṛta-cetasām	apahṛta-cetas	nominal	gen/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: cetasām	
2.44	vyavasāyātmikā	vyavasāya-ātmikā	nominal	nom/sg/f	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: vyavasāyātmikā	
2.45	traiguṇya-viṣayāḥ	traiguṇya-viṣaya	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: viṣayāḥ	
2.45	nitya-sattva-sthaḥ	nitya-sattva-stha	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: sthaḥ	
2.46	saṁplutodake	saṁpluta-udaka	nominal	loc/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁplutodake	
2.46	vijānataḥ	vijānant	participle	gen/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
2.49	buddhi-yogād	buddhi-yoga	nominal	abl/sg/m	GAP		G0_sandhi_surface	none: gold form is a sandhied surface; the pausa form carries the gold cell in kosha	pausa form: buddhi-yogāt	
2.50	sukṛta-duṣkṛte	sukṛta-duṣkṛta	nominal	acc/du/n	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: duṣkṛte	
2.51	janma-bandha-vinirmuktāḥ	janma-bandha-vinirmukta	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vinirmuktāḥ	
2.51	anāmayam	an-āmaya	nominal	acc/pl/n	DIVERGE	acc.sg.m;acc.sg.n;nom.sg.n	D2_number_mismatch	review: gold number absent from kosha's analyses — gold mislabel OR missing number in paradigm	suspect: gold — kosha's own paradigm of this lemma puts the form in another cell	
2.54	sthita-dhīḥ	sthita-dhī	nominal	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: dhīḥ	
2.55	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: bhagavān	
2.56	anudvigna-manāḥ	an-ud-vigna-manas	nominal	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: manāḥ	
2.56	sthita-dhīḥ	sthita-dhī	nominal	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: dhīḥ	
2.60	yatataḥ	yatant	participle	gen/sg/m	DIVERGE	None.du.None	D1_kosha_null_cells	kosha: existing row has NULL case/gender — fill the cell or flag disputed=1		
2.62	dhyāyataḥ	dhyāyant	participle	gen/sg/m	DIVERGE	None.du.None	D1_kosha_null_cells	kosha: existing row has NULL case/gender — fill the cell or flag disputed=1		
2.62	puṁsaḥ	puṁs	nominal	gen/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
2.63	saṁmohaḥ	saṁ-moha	nominal	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁmohaḥ	
2.63	saṁmohāt	saṁ-moha	nominal	abl/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁmohāt	
2.63	buddhi-nāśaḥ	buddhi-nāśa	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: nāśaḥ	
2.63	buddhi-nāśāt	buddhi-nāśa	nominal	abl/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: nāśāt	
2.64	rāga-dveṣa-viyuktaiḥ	rāga-dveṣa-viyukta	nominal	instr/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: viyuktaiḥ	
2.64	caran	carant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
2.64	ātma-vaśyaiḥ	ātma-vaśya	nominal	instr/pl/n	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vaśyaiḥ	
2.65	sarva-duḥkhānām	sarva-duḥkha	nominal	gen/pl/n	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: duḥkhānām	
2.65	prasanna-cetasaḥ	prasanna-cetas	nominal	gen/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: cetasaḥ	
2.66	abhāvayataḥ	a-bhāvayant	participle	gen/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: abhāvayataḥ	
2.67	caratām	carant	participle	gen/pl/m	DIVERGE	None.du.None;None.sg.None	D1_kosha_null_cells	kosha: existing row has NULL case/gender — fill the cell or flag disputed=1		
2.69	paśyataḥ	paśyant	participle	gen/sg/	DIVERGE	nom.sg.m	D3_case_mismatch	review: same number, gold case absent — gold mislabel (syncretic ending) OR kosha paradigm cell gap	suspect: kosha — gold lemma's paradigm lacks the form (kosha lemmas: paSyata)	
2.70	acala-pratiṣṭham	acala-pratiṣṭha	nominal	acc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: pratiṣṭham	
2.70	āpaḥ	ap	nominal	nom/pl/f	DIVERGE	acc.sg.n;nom.sg.m;nom.sg.n;voc.sg.n	D2_number_mismatch	review: gold number absent from kosha's analyses — gold mislabel OR missing number in paradigm	suspect: kosha — gold lemma's paradigm lacks the form (kosha lemmas: Apa,Apas)	
2.71	pumān	puṁs	nominal	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
3.01	jyāyasī	jyāyasī	nominal	nom/sg/f	DIVERGE	acc.du.n;nom.du.n;voc.du.n	D2_number_mismatch	review: gold number absent from kosha's analyses — gold mislabel OR missing number in paradigm	suspect: kosha — gold lemma's paradigm lacks the form (kosha lemmas: jyAyas)	
3.03	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: bhagavān	
3.04	saṁnyasanād	saṁnyasana	nominal	abl/sg/n	GAP		G0_sandhi_surface	none: gold form is a sandhied surface; the pausa form carries the gold cell in kosha	pausa form: saṁnyasanāt	
3.05	akarma-kṛt	a-karma-kṛt	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: kṛt	
3.06	smaran	smarant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
3.09	yajñārthāt	yajña-artha	nominal	abl/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: yajñārthāt	
3.11	bhāvayantaḥ	bhāvayant	participle	nom/pl/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
3.13	yajña-śiṣṭāśinaḥ	yajña-śiṣṭa-āśin	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: śiṣṭāśinaḥ	
3.13	santaḥ	sant	participle	nom/pl/m	DIVERGE	nom.sg.m	D2_number_mismatch	review: gold number absent from kosha's analyses — gold mislabel OR missing number in paradigm	suspect: kosha — gold lemma's paradigm lacks the form (kosha lemmas: santa)	
3.13	sarva-kilbiṣaiḥ	sarva-kilbiṣa	nominal	instr/pl/n	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: kilbiṣaiḥ	
3.13	ātma-kāraṇāt	ātma-kāraṇa	nominal	abl/sg/n	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: kāraṇāt	
3.14	anna-saṁbhavaḥ	anna-saṁbhava	nominal	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁbhavaḥ	
3.14	karma-samudbhavaḥ	karma-samudbhava	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: samudbhavaḥ	
3.15	brahmodbhavam	brahma-udbhava	nominal	acc/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: brahmodbhavam	
3.15	akṣara-samudbhavam	a-kṣara-samudbhava	nominal	acc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: samudbhavam	
3.16	indriyārāmaḥ	indriya-ārāma	nominal	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: indriyārāmaḥ	
3.18	artha-vyapāśrayaḥ	artha-vyapāśraya	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vyapāśrayaḥ	
3.19	ācaran	ācarant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
3.20	janakādayaḥ	janaka-ādi	nominal	nom/pl/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: janakādayaḥ	
3.20	saṁpaśyan	saṁpaśyant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
3.22	triṣu	tri	nominal	loc/pl/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
3.25	avidvāṁsaḥ	a-vidvas	nominal	nom/pl/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: avidvāṁsaḥ	
3.25	vidvān	vidvas	nominal	nom/sg/m	GAP		G4_cell_absent	gap-fill candidate: lemma paradigm exists but this form/cell is missing — add variant	lemma rows in kosha: 24	
3.26	vidvān	vidvas	nominal	nom/sg/m	GAP		G4_cell_absent	gap-fill candidate: lemma paradigm exists but this form/cell is missing — add variant	lemma rows in kosha: 24	
3.26	samācaran	samācarant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
3.27	ahaṁkāra-vimūḍhātmā	ahaṁkāra-vimūḍhātman	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vimūḍhātmā	
3.29	guṇa-saṁmūḍhāḥ	guṇa-saṁmūḍhāḥ	nominal	nom/pl/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁmūḍhāḥ	
3.29	akṛtsna-vidaḥ	akṛtsna-vit	nominal	acc/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vidaḥ	
3.30	nir-āśīḥ	nir-ā-śis	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: āśīḥ	
3.31	anasūyantaḥ	an-asūyant	participle	nom/pl/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: anasūyantaḥ	
3.32	abhyasūyantaḥ	abhi-asūyant	participle	nom/pl/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: abhyasūyantaḥ	
3.32	sarva-jñāna-vimūḍhān	sarva-jñāna-vimūḍha	nominal	acc/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vimūḍhān	
3.34	indriyasya indriyasya	indriya	nominal	gen/sg/n	GAP		G5_gold_form_defect	gold: fix the form field in the Gita gold master (duplicated word / variant reading / ASCII h for ḥ) — not an engine gap	multi-word form field	
3.35	śreyān	śreyas	nominal	nom/sg/m	GAP		G4_cell_absent	gap-fill candidate: lemma paradigm exists but this form/cell is missing — add variant	lemma rows in kosha: 25	
3.36	anicchan	an-icchant	participle	nom/sg/m	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: anicchan	
3.37	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: bhagavān	
3.37	rajo-guṇa-samudbhavaḥ	rajo-guṇa-samudbhava	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: samudbhavaḥ	
3.39	nitya-vairiṇā	nitya-vairin	nominal	instr/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: vairiṇā	
3.41	jñāna-vijñāna-nāśanam	jñāna-vijñāna-nāśana	nominal	acc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: nāśanam	
4.01	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: bhagavān	
4.02	paraṁ-parā-prāptam	paraṁ-parā-prāpta	nominal	acc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: prāptam	
4.03	sakhā	sakhi	nominal	nom/sg/m	GAP		G4_cell_absent	gap-fill candidate: lemma paradigm exists but this form/cell is missing — add variant	lemma rows in kosha: 24	
4.05	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: bhagavān	
4.06	san	sant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
4.06	san	sant	participle	nom/sg/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
4.06	ātma-māyayā	ātma-māyā	nominal	instr/sg/f	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: māyayā	
4.08	duṣkṛtām	duṣ-kṛta	nominal	acc/du/n	DIVERGE	acc.sg.f;gen.pl.f;gen.pl.m;gen.pl.n	D2_number_mismatch	review: gold number absent from kosha's analyses — gold mislabel OR missing number in paradigm	suspect: undetermined — compound lemma keyed differently in kosha (duzkft,duzkftA)	
4.08	dharma-saṁsthāpanārthāya	dharma-saṁsthāpana-artha	nominal	dat/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: saṁsthāpanārthāya	
4.08	yuge yuge	yuga	nominal	loc/sg/n	GAP		G5_gold_form_defect	gold: fix the form field in the Gita gold master (duplicated word / variant reading / ASCII h for ḥ) — not an engine gap	multi-word form field	
4.10	jñāna-tapasāḥ	jñāna-tapas	nominal	instr/sg/n	GAP		G2_compound_member_gap	gap-fill candidate: compound's final member lacks the gold cell — review member paradigm	member: tapasāḥ	
4.11	vartman	vartman	nominal	acc/sg/n	DIVERGE	voc.sg.n	D3_case_mismatch	review: same number, gold case absent — gold mislabel (syncretic ending) OR kosha paradigm cell gap	suspect: gold — kosha's own paradigm of this lemma puts the form in another cell	
4.12	kāṅkṣantaḥ	kāṅkṣant	participle	nom/pl/m	GAP		G3_lemma_absent	gap-fill candidate: lemma has no paradigm in kosha inflections — generate paradigm (e.g. vidyut-gap-fill)	lemma rows in kosha: 0	
4.18	kṛtsna-karma-kṛt	kṛtsna-karma-kṛt	nominal	nom/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: kṛt	
4.19	kāma-saṁkalpa-varjitāḥ	kāma-saṁkalpa-varjita	nominal	nom/pl/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: varjitāḥ	
4.19	jñānāgni-dagdha-karmāṇam	jñāna-agni-dagdha-karmāṇa	nominal	acc/sg/m	GAP		G1_compound_member_covered	none: compound; final member carries the gold cell in kosha (compounds are out of paradigm scope)	member: karmāṇam	
